chapter,verse,sanskrit,hindi,english,explanation,emotion,source
8,8.16,आब्रह्मभुवनाल्लोकाः पुनरावर्तिनोऽर्जुन । मामुपेत्य तु कौन्तेय पुनर्जन्म न विद्यते ॥ ८.१६ ॥,"हे अर्जुन ! ब्रह्मलोकपर्यन्त सब लोक पुनरावर्ती हैं, परन्तु हे कुन्तीपुत्र ! मुझको प्राप्त होकर पुनर्जन्म नहीं होता; क्योंकि मैं कालातीत हूँ और ये सब ब्रह्मादिके लोक कालके द्वारा सीमित होनेसे अनित्य हैं|","All the worlds in the universe, including this one, O Arjuna, are subject to appear and disappear, go and return again, to be created and recreated, but, Arjuna, when one has attained Me, he is never born again into this world of suffering and temporary pleasure.","All the worlds in the universe, including this one, O Arjuna, are subject to appear and disappear, go and return again, to be created and recreated, but, Arjuna, when one has attained Me, he is never born again into this world of suffering and temporary pleasure.",happiness,Bhagavad Gita
8,8.17,सहस्रयुगपर्यन्तमहर्यद्ब्रह्मणो विदुः । रात्रिं युगसहस्रान्तां तेऽहोरात्रविदो जनाः ॥ ८.१७ ॥,"ब्रह्माका जो एक दिन है, उसको एक हजार चतुर्युगीतककी अवधिवाला और रात्रिको भी एक हजार चतुर्युगीतककी अवधिवाली जो पुरुष तत्त्वसे जानते हैं, वे योगीजन कालके तत्त्वको जाननेवाले हैं|","Those who knows that Brahma’s (the Supreme Creator) one day lasts 1,000 yugas and one night ends 1,000 yugus, truly know the essence of time.","Those who knows that Brahma’s (the Supreme Creator) one day lasts 1,000 yugas and one night ends 1,000 yugus, truly know the essence of time.",general,Bhagavad Gita
8,8.18,अव्यक्ताद्व्यक्तयः सर्वाः प्रभवन्त्यहरागमे । रात्र्यागमे प्रलीयन्ते तत्रैवाव्यक्तसंज्ञके ॥ ८.१८ ॥,सम्पूर्ण चराचर भूतगण ब्रह्माके दिनके प्रवेशकालमें अव्यक्तसे अर्थात् ब्रह्माके सूक्ष्म शरीरसे उत्पन्न होते हैं और ब्रह्माकी रात्रिके प्रवेशकालमें उस अव्यक्त नामक ब्रह्माके सूक्ष्मशरीरमें ही लीन हो जाते हैं|,"Dear Arjuna, try to understand that all that is visible in this world comes out from within Brahma (Creator of the world) at the start of his day.","Dear Arjuna, try to understand that all that is visible in this world comes out from within Brahma (Creator of the world) at the start of his day.",motivation,Bhagavad Gita
8,8.19,भूतग्रामः स एवायं भूत्वा भूत्वा प्रलीयते । रात्र्यागमेऽवशः पार्थ प्रभवत्यहरागमे ॥ ८.१९ ॥,हे पार्थ! वही यह भूतसमुदाय उत्पन्न हो होकर प्रकृतिके वशमें हुआ रात्रिके प्रवेशकालमें लीन होता है और दिनके प्रवेशकालमें फिर उत्पन्न होता है|,"O Arjuna, all beings in this world, by the force of their nature, are born again and again, and dissolve repeatedly as well. They perish and join Brahma at the start of his night, and are born again at the start of his day.","O Arjuna, all beings in this world, by the force of their nature, are born again and again, and dissolve repeatedly as well. They perish and join Brahma at the start of his night, and are born again at the start of his day.",general,Bhagavad Gita
8,8.21,अव्यक्तोऽक्षर इत्युक्तस्तमाहुः परमां गतिम् । यं प्राप्य न निवर्तन्ते तद्धाम परमं मम ॥ ८.२१ ॥,"जो अव्यक्त ‘अक्षर’ इस नामसे कहा गया है, उसी अक्षर नामक अव्यक्तभावको परमगति कहते हैं तथा जिस सनातन अव्यक्तभावको प्राप्त होकर मनुष्य वापस नहीं आते, वह मेरा परम धाम है|","The unmanifest (uncreated) is eternal and indestructible, O son of Kunti, and is the ultimate goal for all beings to achieve.When one has finally reached this ultimate goal, he does not come back into this world of temporary pleasure and misery. He achieves supreme bliss, peace and contentment. He then lives forever in My Supreme Abode.","The unmanifest (uncreated) is eternal and indestructible, O son of Kunti, and is the ultimate goal for all beings to achieve.When one has finally reached this ultimate goal, he does not come back into this world of temporary pleasure and misery. He achieves supreme bliss, peace and contentment. He then lives forever in My Supreme Abode.",happiness,Bhagavad Gita
8,8.22,पुरुषः स परः पार्थ भक्त्या लभ्यस्त्वनन्यया । यस्यान्तःस्थानि भूतानि येन सर्वमिदं ततम् ॥ ८.२२ ॥,"हे पार्थ जिस परमात्माके अन्तर्गत सर्वभूत हैं और जिस सच्चिदानन्दघन परमात्मासे यह समस्त जगत् परिपूर्ण है, वह सनातन अव्यक्त परम पुरुष तो अनन्य’ भक्तिसे ही प्राप्त होने योग्य है|","Dear Arjuna, that God within whom all beings are contained and that God who rules over all the universe, can be attained by complete devotion.","Dear Arjuna, that God within whom all beings are contained and that God who rules over all the universe, can be attained by complete devotion.",general,Bhagavad Gita
8,8.23,यत्र काले त्वनावृत्तिमावृत्तिं चैव योगिनः । प्रयाता यान्ति तं कालं वक्ष्यामि भरतर्षभ ॥ ८.२३ ॥,"हे अर्जुन ! जिस कालमें शरीर त्याग कर गये हुए योगीजन तो वापस न लौटनेवाली गतिको और जिस कालमें गये हुए वापस लौटनेवाली गतिको ही प्राप्त होते हैं, उस कालको अर्थात् दोनों मार्गोंको कहूँगा|","Dear Arjuna, now I shall tell you of the two paths by which the Yogi returns (comes back and is born into this world again) and by which the Yogi does not return (is not born into this world again.)","Dear Arjuna, now I shall tell you of the two paths by which the Yogi returns (comes back and is born into this world again) and by which the Yogi does not return (is not born into this world again.)",confusion,Bhagavad Gita
8,8.24,अग्निर्ज्योतिरहः शुक्लः षण्मासा उत्तरायणम् । तत्र प्रयाता गच्छन्ति ब्रह्म ब्रह्मविदो जनाः ॥ ८.२४ ॥,"जिस मार्गमें ज्योतिर्मय अग्नि-अभिमानी देवता है, दिनका अभिमानी देवता है, शुक्लपक्षका अभिमानी देवता है और उत्तरायणके छः महीनोंका अभिमानी देवता है, उस मार्गमें मरकर गये हुए ब्रह्मवेत्ता योगीजन उपर्युक्त देवताओंद्वारा क्रमसे ले जाये जाकर ब्रह्मको प्राप्त होते हैं|","Those Yogis who follow the path of fire, light, daytime, bright fortnight, and the six months of the northern path of the sun, go to Brahma and are not born into the world again.","Those Yogis who follow the path of fire, light, daytime, bright fortnight, and the six months of the northern path of the sun, go to Brahma and are not born into the world again.",confusion,Bhagavad Gita
8,8.25,धूमो रात्रिस्तथा कृष्णः षण्मासा दक्षिणायनम् । तत्र चान्द्रमसं ज्योतिर्योगी प्राप्य निवर्तते ॥ ८.२५ ...,"जिस मार्गमें धूमाभिमानी देवता है, रात्रि अभिमानी देवता है तथा कृष्णपक्षका अभिमानी देवता है और दक्षिणायनके छः महीनोंका अभिमानी देवता है, उस मार्गमें मरकर गया हुआ सकाम कर्म करनेवाला योगी उपर्युक्त देवताओं द्वारा क्रमसे ले गया हुआ चन्द्रमाकी ज्योतिको प्राप्त होकर स्वर्गमें अपने शुभकर्मोंका फल भोगकर वापस आता है|","Those Yogis who follow the path of smoke, night-time, the dark fortnight, the six months of southern path, go to heaven and are eventually reborn back into the world.","Those Yogis who follow the path of smoke, night-time, the dark fortnight, the six months of southern path, go to heaven and are eventually reborn back into the world.",confusion,Bhagavad Gita
8,8.26,शुक्लकृष्णे गती ह्येते जगतः शाश्वते मते । एकया यात्यनावृत्तिमन्ययावर्तते पुनः ॥ ८.२६ ॥,"क्योंकि जगत्के ये दो प्रकारके – शुक्ल और कृष्ण – – अर्थात् देवयान और पितृयान मार्ग सनातन माने गये हैं। इनमें एकके द्वारा गया हुआ * – जिससे वापस – – नहीं लौटना पड़ता, उस परम गतिको प्राप्त होता है और दूसरेके द्वारा गया हुआ * फिर वापस आता है अर्थात् जन्म-मृत्युको प्राप्त होता है|","The Blessed Lord Krishna continued: These bright and dark paths are considered to be the two original paths of the universe. By following the bright path, the Yogi reaches the Supreme State from where there is no return. Going by the other path, the Yogi is subject to birth and death as many times as he chooses to follow this path.
","The Blessed Lord Krishna continued: These bright and dark paths are considered to be the two original paths of the universe. By following the bright path, the Yogi reaches the Supreme State from where there is no return. Going by the other path, the Yogi is subject to birth and death as many times as he chooses to follow this path.
",confusion,Bhagavad Gita
8,8.27,नैते सृती पार्थ जानन्योगी मुह्यति कश्चन । तस्मात्सर्वेषु कालेषु योगयुक्तो भवार्जुन ॥ ८.२७ ॥,हे पार्थ! इस प्रकार इन दोनों मार्गोंको तत्त्वसे जानकर कोई भी योगी मोहित नहीं होता। इस कारण हे अर्जुन ! तू सब कालमें समबुद्धिरूप योगसे युक्त हो अर्थात् निरन्तर मेरी प्राप्तिके लिये साधन करनेवाला हो|,"O Arjuna, knowing these two paths, no Yogi ever becomes confused, deluded or unhappy. Therefore Arjuna, you should try to achieve Yoga, the Supreme state of happiness, at all times.","O Arjuna, knowing these two paths, no Yogi ever becomes confused, deluded or unhappy. Therefore Arjuna, you should try to achieve Yoga, the Supreme state of happiness, at all times.",confusion,Bhagavad Gita
8,8.28,वेदेषु यज्ञेषु तपःसु चैव दानेषु यत् पुण्यफलं प्रदिष्टम् । अत्येति तत्सर्वमिदं विदित्वा योगी परं स...,"योगी पुरुष इस रहस्यको तत्त्वसे जानकर वेदोंके पढ़नेमें तथा यज्ञ, तप और दानादिके करनेमें जो पुण्यफल कहा है, उन सबको निःसन्देह उल्लंघन कर जाता है और सनातन परमपदको प्राप्त होता है|","Whatever achievements are obtained by the study of the Vedas, by sacrifices, and by giving to charities, the Yogi goes beyond all of these achievements and achieves the ultimate goal and learns the ultimate secret: the attainment of the eternal Supreme state by constantly practising Yoga.","Whatever achievements are obtained by the study of the Vedas, by sacrifices, and by giving to charities, the Yogi goes beyond all of these achievements and achieves the ultimate goal and learns the ultimate secret: the attainment of the eternal Supreme state by constantly practising Yoga.",general,Bhagavad Gita
9,9.1,श्रीभगवानुवाच । इदं तु ते गुह्यतमं प्रवक्ष्याम्यनसूयवे ज्ञानं विज्ञानसहितं यज्ज्ञात्वा मोक्ष्यसेऽश...,"श्रीभगवान् बोले- तुझ दोषदृष्टिरहित भक्तके लिये इस परम गोपनीय विज्ञानसहित ज्ञानको पुनः भलीभाँति कहूँगा, जिसको जानकर तू दुःखरूप संसारसे मुक्त हो जायगा|","Lord Krishna continued: Dear Arjuna, I shall explain to you this ultimate secret and Gyan which is the knowledge of all that is manifest (to emerge from Brahma and be born in this world) and all that is unmanifest (to become one with Brahma and forever be liberated from this world of suffering).","Lord Krishna continued: Dear Arjuna, I shall explain to you this ultimate secret and Gyan which is the knowledge of all that is manifest (to emerge from Brahma and be born in this world) and all that is unmanifest (to become one with Brahma and forever be liberated from this world of suffering).",general,Bhagavad Gita
9,9.2,राजविद्या राजगुह्यं पवित्रमिदमुत्तमम् । प्रत्यक्षावगमं धर्म्यं सुसुखं कर्तुमव्ययम् ॥ ९.२ ॥,"यह विज्ञानसहित ज्ञान सब विद्याओंका राजा, सब गोपनीयोंका राजा, अति पवित्र, अति उत्तम, प्रत्यक्ष फलवाला, धर्मयुक्त, साधन करनेमें बड़ा सुगम और अविनाशी है|","This Gyan is the most significant secret knowledge in the universe, O Arjuna. It is very pure and helpful to all beings. It produces direct and favourable results. This virtuous secret is easy to practice and is imperishable.","This Gyan is the most significant secret knowledge in the universe, O Arjuna. It is very pure and helpful to all beings. It produces direct and favourable results. This virtuous secret is easy to practice and is imperishable.",stress,Bhagavad Gita
9,9.3,अश्रद्दधानाः पुरुषा धर्मस्यास्य परन्तप । अप्राप्य मां निवर्तन्ते मृत्युसंसारवर्त्मनि ॥ ९.३ ॥,हे परंतप! इस उपर्युक्त धर्ममें श्रद्धारहित पुरुष मुझको न प्राप्त होकर मृत्युरूप संसारचक्रमें भ्रमण करते रहते हैं|,"Arjuna, those people who do not have faith in these principles and in this secret knowledge do not attain Me (the ultimate goal) and thus, move into a world if darkness and death.","Arjuna, those people who do not have faith in these principles and in this secret knowledge do not attain Me (the ultimate goal) and thus, move into a world if darkness and death.",general,Bhagavad Gita
9,9.4,मया ततमिदं सर्वं जगदव्यक्तमूर्तिना । मत्स्थानि सर्वभूतानि न चाहं तेष्ववस्थितः ॥ ९.४ ॥,"मुझ निराकार परमात्मासे यह सब जगत् जलसे बरफके सदृश परिपूर्ण है और सब भूत मेरे अन्तर्गत संकल्पके आधार स्थित हैं, किन्तु वास्तवमें मैं उनमें स्थित नहीं हूँ|",I am present in all of the universe (on every world) in my unmanifest (unseen) form. All beings are contained in Me but I am not always contained in them.,I am present in all of the universe (on every world) in my unmanifest (unseen) form. All beings are contained in Me but I am not always contained in them.,general,Bhagavad Gita
9,9.5,न च मत्स्थानि भूतानि पश्य मे योगमैश्वरम् । भूतभृन्न च भूतस्थो ममात्मा भूतभावनः ॥ ९.५ ॥,वे सब भूत मुझमें स्थित नहीं हैं; किन्तु मेरी ईश्वरीय योगशक्तिको देख कि भूतोंका धारण-पोषण करनेवाला और भूतोंको उत्पन्न करनेवाला भी मेरा आत्मा वास्तवमें भूतोंमें स्थित नहीं है|,"O Arjuna, you must also understand that all the beings in this universe are not within Me.
Behold the effects of My Yoga (spiritual power), though I sustain and create all beings, in reality, My Self dwells not in these beings.","O Arjuna, you must also understand that all the beings in this universe are not within Me.
Behold the effects of My Yoga (spiritual power), though I sustain and create all beings, in reality, My Self dwells not in these beings.",motivation,Bhagavad Gita
9,9.6,यथाकाशस्थितो नित्यं वायुः सर्वत्रगो महान् । तथा सर्वाणि भूतानि मत्स्थानीत्युपधारय ॥ ९.६ ॥,"जैसे आकाशसे उत्पन्न सर्वत्र विचरनेवाला महान् वायु सदा आकाशमें ही स्थित है, वैसे ही मेरे संकल्पद्वारा उत्पन्न होनेसे सम्पूर्ण भूत मुझमें स्थित हैं, ऐसा जान|","Arjuna, you must clearly understand that just as the vast wind moves in all directions in the sky, similarly all beings are placed in Me.","Arjuna, you must clearly understand that just as the vast wind moves in all directions in the sky, similarly all beings are placed in Me.",motivation,Bhagavad Gita
9,9.7,सर्वभूतानि कौन्तेय प्रकृतिं यान्ति मामिकाम् । कल्पक्षये पुनस्तानि कल्पादौ विसृजाम्यहम् ॥ ९.७ ॥,हे अर्जुन ! कल्पोंके अन्तमें सब भूत मेरी प्रकृतिको प्राप्त होते हैं अर्थात् प्रकृतिमें लीन होते हैं और कल्पोंके आदिमें उनको मैं फिर रचता हूँ|,"O Arjuna, all beings realize and attain My true nature at the end of Brahma’s Day knows as Kalpa. I, the Supreme Being, create them again at the beginning of every Kalpa.","O Arjuna, all beings realize and attain My true nature at the end of Brahma’s Day knows as Kalpa. I, the Supreme Being, create them again at the beginning of every Kalpa.",general,Bhagavad Gita
9,9.8,प्रकृतिं स्वामवष्टभ्य विसृजामि पुनः पुनः । भूतग्राममिमं कृत्स्नमवशं प्रकृतेर्वशात् ॥ ९.८ ॥,अपनी प्रकृतिको अंगीकार करके स्वभावके बलसे परतन्त्र हुए इस सम्पूर्ण भूतसमुदायको बार-बार उनके कर्मों के अनुसार रचता हूँ|,"O Arjuna, I create all beings again and again according to their karma (performed actions in their past life) out of My Maya (spiritually powerful nature).","O Arjuna, I create all beings again and again according to their karma (performed actions in their past life) out of My Maya (spiritually powerful nature).",stress,Bhagavad Gita
9,9.9,न च मां तानि कर्माणि निबध्नन्ति धनंजय । उदासीनवदासीनमसक्तं तेषु कर्मसु ॥ ९.९ ॥,हे अर्जुन ! उन कर्मोंमें आसक्तिरहित और वे उदासीनके सदृश स्थित मुझ परमात्माको वे कर्म नहीं बाँधते|,"Dear Arjuna, Karma has no affect on Me whatsoever. I am unattached and indifferent to Karma. I have no bondage to Karma at all.","Dear Arjuna, Karma has no affect on Me whatsoever. I am unattached and indifferent to Karma. I have no bondage to Karma at all.",stress,Bhagavad Gita
9,9.11,अवजानन्ति मां मूढा मानुषीं तनुमाश्रितम् । परं भावमजानन्तो मम भूतमहेश्वरम् ॥ ९.११ ॥,मेरे परमभावको न जाननेवाले मूढलोग मनुष्यका शरीर धारण करनेवाले मुझ सम्पूर्ण भूतोंके महान् ईश्वरको तुच्छ समझते हैं अर्थात् अपनी योगमायासे संसारके उद्धार के लिये मनुष्यरूपमें विचरते हुए मुझ परमेश्वरको साधारण मनुष्य मानते हैं|,"Not knowing and fully understanding My Supreme Nature, all ignorant and unspiritual people in this world regard Me as insignificant when I am in human form. They fail to see and realize that I am the Lord of all beings.","Not knowing and fully understanding My Supreme Nature, all ignorant and unspiritual people in this world regard Me as insignificant when I am in human form. They fail to see and realize that I am the Lord of all beings.",motivation,Bhagavad Gita
9,9.12,मोघाशा मोघकर्माणो मोघज्ञाना विचेतसः । राक्षसीमासुरीं चैव प्रकृतिं मोहिनीं श्रिताः ॥ ९.१२ ॥,"वे व्यर्थ आशा, व्यर्थ कर्म और व्यर्थ ज्ञानवाले विक्षिप्तचित्त अज्ञानीजन राक्षसी, आसुरी और मोहिनी प्रकृतिको’ ही धारण किये रहते हैं|","The Lord spoke onward: These ignorant people with futile hopes, vain actions (Karma), and false knowledge (spiritual and non-spiritual Gyan) have a misleading and evil nature.","The Lord spoke onward: These ignorant people with futile hopes, vain actions (Karma), and false knowledge (spiritual and non-spiritual Gyan) have a misleading and evil nature.",stress,Bhagavad Gita
9,9.13,महात्मानस्तु मां पार्थ दैवीं प्रकृतिमाश्रिताः । भजन्त्यनन्यमनसो ज्ञात्वा भूतादिमव्ययम् ॥ ९.१३ ॥,परन्तु हे कुन्तीपुत्र ! दैवी प्रकृतिके आश्रित महात्माजन मुझको सब भूतोंका सनातन कारण और नाशरहित अक्षरस्वरूप जानकर अनन्य मनसे युक्त होकर निरन्तर भजते हैं|,"But, Arjuna, always heed that all saints, Yogis and wise men, with their godly, spiritual nature,regard Me as the prime cause of all beings (the Creator of the world) and indestructible. They worship Me with one-mindedness, never letting their minds go astray and be affected by worldly objects, attachment to Karma, and false Gyan.","But, Arjuna, always heed that all saints, Yogis and wise men, with their godly, spiritual nature,regard Me as the prime cause of all beings (the Creator of the world) and indestructible. They worship Me with one-mindedness, never letting their minds go astray and be affected by worldly objects, attachment to Karma, and false Gyan.",stress,Bhagavad Gita
9,9.14,सततं कीर्तयन्तो मां यतन्तश्च दृढव्रताः । नमस्यन्तश्च मां भक्त्या नित्ययुक्ता उपासते ॥ ९.१४ ॥,वे दृढ़ निश्चयवाले भक्तजन निरन्तर मेरे नाम और गुणोंका कीर्तन करते हुए तथा मेरी प्राप्तिके लिये यत्न करते हुए और मुझको बार बार प्रणाम करते हुए सदा मेरे ध्यानमें युक्त होकर अनन्य प्रेमसे मेरी उपासना करते हैं|,"True devotees of mine, O Arjuna, always have a firm belief in Me, constantly chant My name, bowing before Me, are always absorbed in My thought and worship Me with true love and devotion.","True devotees of mine, O Arjuna, always have a firm belief in Me, constantly chant My name, bowing before Me, are always absorbed in My thought and worship Me with true love and devotion.",general,Bhagavad Gita
9,9.15,ज्ञानयज्ञेन चाप्यन्ये यजन्तो मामुपासते । एकत्वेन पृथक्त्वेन बहुधा विश्वतोमुखम् ॥ ९.१५ ॥,दूसरे ज्ञानयोगी मुझ निर्गुण-निराकार ब्रह्मका ज्ञानयज्ञके द्वारा अभिन्नभावसे पूजन हुए भी मेरी उपासना करते हैं और दूसरे मनुष्य बहुत प्रकारसे स्थित मुझ विराट्स्वरूप परमेश्वरकी पृथक् भावसे उपासना करते हैं|,"Several people worship Me in different ways, My dear friend. Some choose to worship Me with their offering of knowledge (Gyan Yagya); others worship Me in my absolute (formless) form as part of their own self; and still others choose to worship Me as their Divine Master, in My several different and diverse forms. However, Arjuna, realize that I am One and Universal even though I take on several forms.","Several people worship Me in different ways, My dear friend. Some choose to worship Me with their offering of knowledge (Gyan Yagya); others worship Me in my absolute (formless) form as part of their own self; and still others choose to worship Me as their Divine Master, in My several different and diverse forms. However, Arjuna, realize that I am One and Universal even though I take on several forms.",general,Bhagavad Gita
9,9.16,अहं क्रतुरहं यज्ञः स्वधाहमहमौषधम् । मन्त्रोऽहमहमेवाज्यमहमग्निरहं हुतम् ॥ ९.१६ ॥,"क्रतु मैं हूँ, यज्ञ मैं हूँ, स्वधा मैं हूँ, ओषधि मैं हूँ, मन्त्र मैं हूँ, घृत मैं हूँ, अग्नि मैं हूँ और हवनरूप क्रिया भी मैं ही हूँ|","Arjuna, you must understand that I am everything in this world.
I am the Vedic rituals; I am the sacrifice and the offerings (Yogya); I am the represent all herbal life
I am the Mantra (Vedic); I am purified butter; I am fire; I am the very act of offering in sacrifices.","Arjuna, you must understand that I am everything in this world.
I am the Vedic rituals; I am the sacrifice and the offerings (Yogya); I am the represent all herbal life
I am the Mantra (Vedic); I am purified butter; I am fire; I am the very act of offering in sacrifices.",motivation,Bhagavad Gita
9,9.17,पिताहमस्य जगतो माता धाता पितामहः । वेद्यं पवित्रमोंकार ऋक्साम यजुरेव च ॥ ९.१७ ॥,"इस सम्पूर्ण जगत्का धाता अर्थात् धारण करनेवाला एवं कर्मोंके फलको देनेवाला, पिता, माता, पितामह, जाननेयोग्य,’ पवित्र ओंकार तथा ऋग्वेद, सामवेद और यजुर्वेद भी मैं ही हूँ|","I am the sustainer, the father,mother, and grandfather of the whole universe. I represent all that is knowable and worth knowing
I am the Supreme Purifier of all things in the Universe and I represent all of the Vedas in the Universe also, namely, Rig Veda, Yajur Veda and Sama Veda.","I am the sustainer, the father,mother, and grandfather of the whole universe. I represent all that is knowable and worth knowing
I am the Supreme Purifier of all things in the Universe and I represent all of the Vedas in the Universe also, namely, Rig Veda, Yajur Veda and Sama Veda.",general,Bhagavad Gita
9,9.18,गतिर्भर्ता प्रभुः साक्षी निवासः शरणं सुहृत् । प्रभवः प्रलयः स्थानं निधानं बीजमव्ययम् ॥ ९.१८ ॥,"प्राप्त होनेयोग्य परम धाम, भरण-पोषण करनेवाला, सबका स्वामी, शुभाशुभका देखनेवाला, सबका वासस्थान, शरण लेनेयोग्य, प्रत्युपकार न चाहकर हित करनेवाला, सबकी उत्पत्ति प्रलयका हेतु, – स्थितिका आधार, निधान’ और अविनाशी कारण भी मैं ही हूँ|","O Dear Arjuna, I support and preserve all the creation in the universe; I am the Supreme Lord of all; the witness of all occurrences, the shelter; the refuge; the well-wisher of all beings; the absolute beginning and origin of things, and the absolute end termination of all things.
Furthermore, Arjuna, I am the resting place and storage place (refuge) into which all beings come together when the time of universal destruction is at hand. Know Me also, as the one imperishable, indestructible seed from which all beings in the universe are cultivated.","O Dear Arjuna, I support and preserve all the creation in the universe; I am the Supreme Lord of all; the witness of all occurrences, the shelter; the refuge; the well-wisher of all beings; the absolute beginning and origin of things, and the absolute end termination of all things.
Furthermore, Arjuna, I am the resting place and storage place (refuge) into which all beings come together when the time of universal destruction is at hand. Know Me also, as the one imperishable, indestructible seed from which all beings in the universe are cultivated.",general,Bhagavad Gita
9,9.19,तपाम्यहमहं वर्षं निगृह्णाम्युत्सृजामि च । अमृतं चैव मृत्युश्च सदसच्चाहमर्जुन ॥ ९.१९ ॥,"मैं ही सूर्यरूपसे तपता हूँ, वर्षाका आकर्षण करता हूँ और उसे बरसाता हूँ। हे अर्जुन ! मैं ही अमृत और मृत्यु हूँ और सत् असत् भी मैं – ही हूँ|","O Arjuna, I am the giver of heat; I am responsible also, for the sending and holding back of rain for the nourishment of all life.
You must understand, My dear friend, that I am the very nectar (the juice) of life within all beings, and at the same time, I am the death of all beings. Arjuna, I am all that is real and unreal in this universe.","O Arjuna, I am the giver of heat; I am responsible also, for the sending and holding back of rain for the nourishment of all life.
You must understand, My dear friend, that I am the very nectar (the juice) of life within all beings, and at the same time, I am the death of all beings. Arjuna, I am all that is real and unreal in this universe.",motivation,Bhagavad Gita
9,9.21,ते तं भुक्त्वा स्वर्गलोकं विशालं क्षीणे पुण्ये मर्त्यलोकं विशन्ति । एवं त्रयीधर्ममनुप्रपन्ना गताग...,"वे उस विशाल स्वर्गलोकको भोगकर पुण्य क्षीण होनेपर मृत्युलोकको प्राप्त होते हैं। इस प्रकार स्वर्गके साधनरूप तीनों वेदोंमें कहे हुए सकामकर्मका आश्रय लेनेवाले और भोगोंकी कामनावाले पुरुष बार बार आवागमनको प्राप्त – होते हैं, अर्थात् पुण्यके प्रभावसे स्वर्गमें जाते हैं और पुण्य क्षीण होनेपर मृत्युलोकमें आते हैं|","However, Arjuna, after all of their good Karma (action) has expired, the enjoyment of all of the happiness, joy and peace that they have encountered in heaven ends as well, and therefore, they are reborn in the world (subject to the cycle of birth and death) once more.
Therefore, Arjuna, all beings who perform attached Karma (actions performed for the purpose of gaining something, i.e. fruits, in return for the action), are always born and reborn into this cycle of birth and death according to the three Vedas.","However, Arjuna, after all of their good Karma (action) has expired, the enjoyment of all of the happiness, joy and peace that they have encountered in heaven ends as well, and therefore, they are reborn in the world (subject to the cycle of birth and death) once more.
Therefore, Arjuna, all beings who perform attached Karma (actions performed for the purpose of gaining something, i.e. fruits, in return for the action), are always born and reborn into this cycle of birth and death according to the three Vedas.",stress,Bhagavad Gita
9,9.22,अनन्याश्चिन्तयन्तो मां ये जनाः पर्युपासते । तेषां नित्याभियुक्तानां योगक्षेमं वहाम्यहम् ॥ ९.२२ ॥,"जो अनन्यप्रेमी भक्तजन मुझ परमेश्वरको निरन्तर चिन्तन करते हुए निष्कामभावसे भजते हैं, उन नित्य-निरन्तर मेरा चिन्तन करनेवाले पुरुषोंका योगक्षेम मैं स्वयं प्राप्त कर देता हूँ|","However, Arjuna, for those beings who worship Me with a fixed mind, meditating and constantly thinking of Me, worshipping Me without any desire for rewards in return for their worship, are granted full refuge and salvation in My Supreme Abode (Heaven). These devotees are never reborn in this cycles of birth and death and attain a place in My Abode for Eternity.","However, Arjuna, for those beings who worship Me with a fixed mind, meditating and constantly thinking of Me, worshipping Me without any desire for rewards in return for their worship, are granted full refuge and salvation in My Supreme Abode (Heaven). These devotees are never reborn in this cycles of birth and death and attain a place in My Abode for Eternity.",general,Bhagavad Gita
9,9.23,येऽप्यन्यदेवताभक्ता यजन्ते श्रद्धयान्विताः । तेऽपि मामेव कौन्तेय यजन्त्यविधिपूर्वकम् ॥ ९.२३ ॥,"हे अर्जुन ! यद्यपि श्रद्धासे युक्त जो सकाम भक्त दूसरे देवताओंको पूजते हैं, वे भी मुझको ही पूजते हैं; किन्तु उनका वह पूजन अविधिपूर्वक अर्थात् अज्ञानपूर्वक है|","Arjuna, all of those devotees of mine who perform Attached Karma and who have faith in the various Deities (who are all part of and representatives of Me in reality), actually worship Me. However, this worship is really being done out ignorance, (lack of proper knowledge about Me.)","Arjuna, all of those devotees of mine who perform Attached Karma and who have faith in the various Deities (who are all part of and representatives of Me in reality), actually worship Me. However, this worship is really being done out ignorance, (lack of proper knowledge about Me.)",stress,Bhagavad Gita
9,9.24,अहं हि सर्वयज्ञानां भोक्ता च प्रभुरेव च । न तु मामभिजानन्ति तत्त्वेनातश्च्यवन्ति ते ॥ ९.२४ ॥,"क्योंकि सम्पूर्ण यज्ञोंका भोक्ता और स्वामी भी मैं ही हूँ; परन्तु वे मुझ परमेश्वरको तत्त्वसे नहीं जानते, इसीसे गिरते हैं अर्थात् पुनर्जन्मको प्राप्त होते हैं|","Arjuna, I am the Supreme Lord and receiver of all sacred sacrifices. However, those devotees who worship Me for some sort of motive or reward, really do not knows Me, and therefore, they shall always fall in this cycle of birth and death.","Arjuna, I am the Supreme Lord and receiver of all sacred sacrifices. However, those devotees who worship Me for some sort of motive or reward, really do not knows Me, and therefore, they shall always fall in this cycle of birth and death.",general,Bhagavad Gita
