text,emotion,type
"very purity of self gets rid of all miseries and grief. a person with internal purity soon develops steady wisdom and a clear, unclouded intelligence.",general,augmented
very न जीते हुए मन और इन्द्रियोंवाले पुरुषमें निश्चयात्मिका बुद्धि नहीं होती और उस अयुक्त मनुष्यके अन्तःकरणमें भावना भी नहीं होती तथा भावनाहीन मनुष्यको शान्ति नहीं मिलती और शान्तिरहित मनुष्यको सुख कैस,happiness,augmented
"very one who cannot control his senses is one who is lacking in steady wisdom and intelligence, and also lacks proper feelings or sentiments (thoughts). a person who cannot think properly and make dec",happiness,augmented
"क्योंकि जैसे जलमें चलनेवाली नावको वायु हर लेती है, वैसे ही विषयोंमें विचरती हुई इन्द्रियोंमेंसे मन जिस इन्द्रियके साथ रहता है वह एक ही इन्द्रिय इस अयुक्त पुरुषकी बुद्धिको हर लेती है|!",confusion,augmented
"क्योंकि जैसे जलमें चलनेवाली नावको वायु हर लेती है, वैसे ही विषयोंमें विचरती हुई इन्द्रियोंमेंसे मन जिस इन्द्रियके साथ रहता है वह एक ही इन्द्रिय इस अयुक्त पुरुषकी बुद्धिको हर लेती है|?",confusion,augmented
"very क्योंकि जैसे जलमें चलनेवाली नावको वायु हर लेती है, वैसे ही विषयोंमें विचरती हुई इन्द्रियोंमेंसे मन जिस इन्द्रियके साथ रहता है वह एक ही इन्द्रिय इस अयुक्त पुरुषकी बुद्धिको हर लेती है|",confusion,augmented
"The mind of those who run after or pursue material pleasures and sensual objects, is often clouded and let on the wrong path, just as the wind blows away the ship on the waters.!",confusion,augmented
"The mind of those who run after or pursue material pleasures and sensual objects, is often clouded and let on the wrong path, just as the wind blows away the ship on the waters.?",confusion,augmented
"very the mind of those who run after or pursue material pleasures and sensual objects, is often clouded and let on the wrong path, just as the wind blows away the ship on the waters.",confusion,augmented
"इसलिये हे महाबाहो ! जिस पुरुषकी इन्द्रियाँ इन्द्रियोंके विषयोंसे सब प्रकार निग्रह की हुई हैं, उसीकी बुद्धि स्थिर है|!",happiness,augmented
"इसलिये हे महाबाहो ! जिस पुरुषकी इन्द्रियाँ इन्द्रियोंके विषयोंसे सब प्रकार निग्रह की हुई हैं, उसीकी बुद्धि स्थिर है|?",happiness,augmented
"very इसलिये हे महाबाहो ! जिस पुरुषकी इन्द्रियाँ इन्द्रियोंके विषयोंसे सब प्रकार निग्रह की हुई हैं, उसीकी बुद्धि स्थिर है|",happiness,augmented
"very o arjuna, therefore with senses under control, protected from sensual objects, not only does one have the ability to reason things out properly, but also gains peace of mind leading to eternal bl",happiness,augmented
"very सम्पूर्ण प्राणियोंके लिये जो रात्रिके समान है, उस नित्य ज्ञानस्वरूप परमानन्दकी प्राप्तिमें स्थितप्रज्ञ योगी जागता है और जिस नाशवान् सांसारिक सुखकी प्राप्तिमें सब प्राणी जागते हैं, परमात्मा तत्त्व",motivation,augmented
"very when it is night for all others, the wise man is always awake. when others are aware and deceived (deluded) by sensual objects, the wise man who knows the truth and has realized god, shuts his ey",motivation,augmented
"जो पुरुष सम्पूर्ण कामनाओं को त्याग कर ममतारहित, अहंकाररहित और स्पृहारहित हुआ विचरता है, वही शांति को प्राप्त होता है अर्थात वह शान्ति को प्राप्त है|!",happiness,augmented
"जो पुरुष सम्पूर्ण कामनाओं को त्याग कर ममतारहित, अहंकाररहित और स्पृहारहित हुआ विचरता है, वही शांति को प्राप्त होता है अर्थात वह शान्ति को प्राप्त है|?",happiness,augmented
"very जो पुरुष सम्पूर्ण कामनाओं को त्याग कर ममतारहित, अहंकाररहित और स्पृहारहित हुआ विचरता है, वही शांति को प्राप्त होता है अर्थात वह शान्ति को प्राप्त है|",happiness,augmented
"The Blessed Lord said: By giving up all desires, freeing oneself of all attachments and without constantly thinking of oneself or of one’s possessions, only then, one may live in realistic peace.!",happiness,augmented
"The Blessed Lord said: By giving up all desires, freeing oneself of all attachments and without constantly thinking of oneself or of one’s possessions, only then, one may live in realistic peace.?",happiness,augmented
"very the blessed lord said: by giving up all desires, freeing oneself of all attachments and without constantly thinking of oneself or of one’s possessions, only then, one may live in realistic peace.",happiness,augmented
"हे अर्जुन! यह ब्रह्मको प्राप्त हुए पुरुषकी स्थिति है, इसको प्राप्त होकर योगी कभी मोहित नहीं होता और अन्तकालमें भी इस ब्राह्मी स्थिति में स्थित होकर ब्रह्मानन्दको प्राप्त हो जाता है|!",happiness,augmented
"हे अर्जुन! यह ब्रह्मको प्राप्त हुए पुरुषकी स्थिति है, इसको प्राप्त होकर योगी कभी मोहित नहीं होता और अन्तकालमें भी इस ब्राह्मी स्थिति में स्थित होकर ब्रह्मानन्दको प्राप्त हो जाता है|?",happiness,augmented
"very हे अर्जुन! यह ब्रह्मको प्राप्त हुए पुरुषकी स्थिति है, इसको प्राप्त होकर योगी कभी मोहित नहीं होता और अन्तकालमें भी इस ब्राह्मी स्थिति में स्थित होकर ब्रह्मानन्दको प्राप्त हो जाता है|",happiness,augmented
"very the blessed lord spoke: o arjuna, this is the state of a person who has truly realized god. after obtaining supreme bliss by realizing god, this person cannot be deceived by any of life’s evils. ",happiness,augmented
अर्जुन बोले– हे जनार्दन ! यदि आपको कर्मकी अपेक्षा ज्ञान श्रेष्ठ मान्य है तो फिर हे केशव ! मुझे भयंकर कर्ममें क्यों लगाते हैं ?!,stress,augmented
अर्जुन बोले– हे जनार्दन ! यदि आपको कर्मकी अपेक्षा ज्ञान श्रेष्ठ मान्य है तो फिर हे केशव ! मुझे भयंकर कर्ममें क्यों लगाते हैं ??,stress,augmented
very अर्जुन बोले– हे जनार्दन ! यदि आपको कर्मकी अपेक्षा ज्ञान श्रेष्ठ मान्य है तो फिर हे केशव ! मुझे भयंकर कर्ममें क्यों लगाते हैं ?,stress,augmented
"Arjuna asked the Good Lord : O Lord KRISHNA, if you claim that Gyan or Knowledge is better than one’s Karma or responsibility, the why do you ask me to fight this battle?!",stress,augmented
"Arjuna asked the Good Lord : O Lord KRISHNA, if you claim that Gyan or Knowledge is better than one’s Karma or responsibility, the why do you ask me to fight this battle??",stress,augmented
"very arjuna asked the good lord : o lord krishna, if you claim that gyan or knowledge is better than one’s karma or responsibility, the why do you ask me to fight this battle?",stress,augmented
आप मिले हुए-से वचनोंसे मेरी बुद्धिको मानो मोहित कर रहे हैं इसलिये उस एक बातको निश्चित करके कहिये जिससे मैं कल्याणको प्राप्त हो जाऊँ|!,stress,augmented
आप मिले हुए-से वचनोंसे मेरी बुद्धिको मानो मोहित कर रहे हैं इसलिये उस एक बातको निश्चित करके कहिये जिससे मैं कल्याणको प्राप्त हो जाऊँ|?,stress,augmented
very आप मिले हुए-से वचनोंसे मेरी बुद्धिको मानो मोहित कर रहे हैं इसलिये उस एक बातको निश्चित करके कहिये जिससे मैं कल्याणको प्राप्त हो जाऊँ|,stress,augmented
"very i am confused dear lord, by the advice you have given to me. you have told me to take two opposite and different courses of action at once. please, o krishna, tell me of just one wise solution an",stress,augmented
श्रीभगवान् बोले– हे निष्पाप ! इस लोकमें दो प्रकारकी निष्ठा’ मेरेद्वारा पहले कही गयी है । उनमेंसे सांख्ययोगियोंकी निष्ठा तो ज्ञानयोगसे और योगियोंकी निष्ठा कर्मयोगसे होती है|!,stress,augmented
श्रीभगवान् बोले– हे निष्पाप ! इस लोकमें दो प्रकारकी निष्ठा’ मेरेद्वारा पहले कही गयी है । उनमेंसे सांख्ययोगियोंकी निष्ठा तो ज्ञानयोगसे और योगियोंकी निष्ठा कर्मयोगसे होती है|?,stress,augmented
very श्रीभगवान् बोले– हे निष्पाप ! इस लोकमें दो प्रकारकी निष्ठा’ मेरेद्वारा पहले कही गयी है । उनमेंसे सांख्ययोगियोंकी निष्ठा तो ज्ञानयोगसे और योगियोंकी निष्ठा कर्मयोगसे होती है|,stress,augmented
"very the blessed lord replied : o arjuna, always remember in life that there are only two definite paths of action as i have described before. one of these is known as sankhyayoga or the path of knowl",stress,augmented
मनुष्य न तो कर्मोंका आरम्भ किये बिना निष्कर्मताको यानी योगनिष्ठाको प्राप्त होता है और न कर्मोंके केवल त्यागमात्र सिद्धि यानी सांख्यनिष्ठाको ही प्राप्त होता है|!,stress,augmented
मनुष्य न तो कर्मोंका आरम्भ किये बिना निष्कर्मताको यानी योगनिष्ठाको प्राप्त होता है और न कर्मोंके केवल त्यागमात्र सिद्धि यानी सांख्यनिष्ठाको ही प्राप्त होता है|?,stress,augmented
very मनुष्य न तो कर्मोंका आरम्भ किये बिना निष्कर्मताको यानी योगनिष्ठाको प्राप्त होता है और न कर्मोंके केवल त्यागमात्र सिद्धि यानी सांख्यनिष्ठाको ही प्राप्त होता है|,stress,augmented
"very o arjuna, it is not only important to understand the meanings of sankhyayoga and karmayoga, but it is also important to understand the aims or goals behind each of these courses of action.the aim",stress,augmented
निःसन्देह कोई भी मनुष्य किसी भी कालमें क्षणमात्र भी बिना कर्म किये नहीं रहता; क्योंकि सारा मनुष्यसमुदाय प्रकृतिजनित गुणोंद्वारा परवश हुआ कर्म करनेके लिये बाध्य किया जाता है|!,stress,augmented
निःसन्देह कोई भी मनुष्य किसी भी कालमें क्षणमात्र भी बिना कर्म किये नहीं रहता; क्योंकि सारा मनुष्यसमुदाय प्रकृतिजनित गुणोंद्वारा परवश हुआ कर्म करनेके लिये बाध्य किया जाता है|?,stress,augmented
very निःसन्देह कोई भी मनुष्य किसी भी कालमें क्षणमात्र भी बिना कर्म किये नहीं रहता; क्योंकि सारा मनुष्यसमुदाय प्रकृतिजनित गुणोंद्वारा परवश हुआ कर्म करनेके लिये बाध्य किया जाता है|,stress,augmented
Lord Krishna continued:There is nobody who is living that does not perform an action of some sort even for a moment. Everyone is forced to perform actions by natural tendencies (human nature).!,stress,augmented
Lord Krishna continued:There is nobody who is living that does not perform an action of some sort even for a moment. Everyone is forced to perform actions by natural tendencies (human nature).?,stress,augmented
very lord krishna continued:there is nobody who is living that does not perform an action of some sort even for a moment. everyone is forced to perform actions by natural tendencies (human nature).,stress,augmented
"जो मूढ़बुद्धि मनुष्य समस्त इन्द्रियोंको हठपूर्वक ऊपरसे रोककर मनसे उन इन्द्रियोंके विषयोंका चिन्तन करता रहता है, वह मिथ्याचारी अर्थात् दम्भी कहा जाता है|!",stress,augmented
"जो मूढ़बुद्धि मनुष्य समस्त इन्द्रियोंको हठपूर्वक ऊपरसे रोककर मनसे उन इन्द्रियोंके विषयोंका चिन्तन करता रहता है, वह मिथ्याचारी अर्थात् दम्भी कहा जाता है|?",stress,augmented
"very जो मूढ़बुद्धि मनुष्य समस्त इन्द्रियोंको हठपूर्वक ऊपरसे रोककर मनसे उन इन्द्रियोंके विषयोंका चिन्तन करता रहता है, वह मिथ्याचारी अर्थात् दम्भी कहा जाता है|",stress,augmented
"very o arjuna, those who have learned to control the organs of action, yet still think in their minds of the pleasures that they can get from those organs, are fooling only themselves by pretending to",stress,augmented
"किन्तु हे अर्जुन ! जो पुरुष मनसे इन्द्रियोंको वशमें करके अनासक्त हुआ समस्त इन्द्रियों द्वारा कर्मयोगका आचरण करता है, वही श्रेष्ठ है|!",stress,augmented
"किन्तु हे अर्जुन ! जो पुरुष मनसे इन्द्रियोंको वशमें करके अनासक्त हुआ समस्त इन्द्रियों द्वारा कर्मयोगका आचरण करता है, वही श्रेष्ठ है|?",stress,augmented
"very किन्तु हे अर्जुन ! जो पुरुष मनसे इन्द्रियोंको वशमें करके अनासक्त हुआ समस्त इन्द्रियों द्वारा कर्मयोगका आचरण करता है, वही श्रेष्ठ है|",stress,augmented
"very the blessed lord spoke: o arjuna, one who has fully learned to control his senses with his mind and practises selfless karmayoga keeping his senses controlled and not allowing them to interfere a",stress,augmented
तू शास्त्रविहित कर्तव्यकर्म कर; क्योंकि कर्म न करनेकी अपेक्षा कर्म करना श्रेष्ठ है तथा कर्म न करनेसे तेरा शरीर- निर्वाह भी नहीं सिद्ध होगा|!,stress,augmented
तू शास्त्रविहित कर्तव्यकर्म कर; क्योंकि कर्म न करनेकी अपेक्षा कर्म करना श्रेष्ठ है तथा कर्म न करनेसे तेरा शरीर- निर्वाह भी नहीं सिद्ध होगा|?,stress,augmented
very तू शास्त्रविहित कर्तव्यकर्म कर; क्योंकि कर्म न करनेकी अपेक्षा कर्म करना श्रेष्ठ है तथा कर्म न करनेसे तेरा शरीर- निर्वाह भी नहीं सिद्ध होगा|,stress,augmented
"very perform the actions that you have been obliged to perform, or that have been prescribed for you. action is always better than inaction, if one is inactive, he cannot live, simply because he is no",stress,augmented
यज्ञके निमित्त किये जानेवाले कर्मोंसे अतिरिक्त दूसरे कर्मोंमें लगा हुआ ही यह मनुष्यसमुदाय कर्मोंसे बँधता है। इसलिये हे अर्जुन! तू आसक्तिसे रहित होकर उस यज्ञके निमित्त ही भलीभाँति कर्तव्यकर्म कर|!,stress,augmented
यज्ञके निमित्त किये जानेवाले कर्मोंसे अतिरिक्त दूसरे कर्मोंमें लगा हुआ ही यह मनुष्यसमुदाय कर्मोंसे बँधता है। इसलिये हे अर्जुन! तू आसक्तिसे रहित होकर उस यज्ञके निमित्त ही भलीभाँति कर्तव्यकर्म कर|?,stress,augmented
very यज्ञके निमित्त किये जानेवाले कर्मोंसे अतिरिक्त दूसरे कर्मोंमें लगा हुआ ही यह मनुष्यसमुदाय कर्मोंसे बँधता है। इसलिये हे अर्जुन! तू आसक्तिसे रहित होकर उस यज्ञके निमित्त ही भलीभाँति कर्तव्यकर्म कर|,stress,augmented
"very the lord continued: o arjuna, all the actions that a person performs in this world, except of course those associated with sacrifice or yagya, tie that person to the world. therefore, o arjuna to",stress,augmented
तुमलोग इस यज्ञके द्वारा देवताओंको उन्नत करो और वे देवता तुमलोगोंको उन्नत करें। इस प्रकार निःस्वार्थभावसे एक-दूसरेको उन्नत करते हुए तुमलोग परम कल्याणको प्राप्त हो जाओगे|!,general,augmented
तुमलोग इस यज्ञके द्वारा देवताओंको उन्नत करो और वे देवता तुमलोगोंको उन्नत करें। इस प्रकार निःस्वार्थभावसे एक-दूसरेको उन्नत करते हुए तुमलोग परम कल्याणको प्राप्त हो जाओगे|?,general,augmented
very तुमलोग इस यज्ञके द्वारा देवताओंको उन्नत करो और वे देवता तुमलोगोंको उन्नत करें। इस प्रकार निःस्वार्थभावसे एक-दूसरेको उन्नत करते हुए तुमलोग परम कल्याणको प्राप्त हो जाओगे|,general,augmented
"very the lord said unto arjuna: the gods or deities grow with yagya or sacrifice. when the deities grow, they will help you to grow. thus, both deity and mankind grow continually. they will both achie",general,augmented
"यज्ञके द्वारा बढ़ाये हुए देवता तुमलोगोंको बिना माँगे ही इच्छित भोग निश्चय ही देते रहेंगे । इस प्रकार उन देवताओंके द्वारा दिये हुए भोगोंको जो पुरुष उनको बिना दिये स्वयं भोगता है, वह चोर ही है|!",happiness,augmented
"यज्ञके द्वारा बढ़ाये हुए देवता तुमलोगोंको बिना माँगे ही इच्छित भोग निश्चय ही देते रहेंगे । इस प्रकार उन देवताओंके द्वारा दिये हुए भोगोंको जो पुरुष उनको बिना दिये स्वयं भोगता है, वह चोर ही है|?",happiness,augmented
"very यज्ञके द्वारा बढ़ाये हुए देवता तुमलोगोंको बिना माँगे ही इच्छित भोग निश्चय ही देते रहेंगे । इस प्रकार उन देवताओंके द्वारा दिये हुए भोगोंको जो पुरुष उनको बिना दिये स्वयं भोगता है, वह चोर ही है|",happiness,augmented
"very through the spirit of sacrifice of yagya, the deities grow and progress. as they grow, they will provide you with all the pleasures you desire. you should offer part of these pleasures to the dei",happiness,augmented
"यज्ञसे बचे हुए अन्नको खानेवाले श्रेष्ठ पुरुष सब पापोंसे मुक्त हो जाते हैं और जो पापीलोग अपना शरीर पोषण करनेके लिये ही अन्न पकाते – हैं, वे तो पापको ही खाते हैं|!",general,augmented
"यज्ञसे बचे हुए अन्नको खानेवाले श्रेष्ठ पुरुष सब पापोंसे मुक्त हो जाते हैं और जो पापीलोग अपना शरीर पोषण करनेके लिये ही अन्न पकाते – हैं, वे तो पापको ही खाते हैं|?",general,augmented
"very यज्ञसे बचे हुए अन्नको खानेवाले श्रेष्ठ पुरुष सब पापोंसे मुक्त हो जाते हैं और जो पापीलोग अपना शरीर पोषण करनेके लिये ही अन्न पकाते – हैं, वे तो पापको ही खाते हैं|",general,augmented
"very the blessed lord krishna said:people who eat food after offering it for sacrifice are considered pious, pure, and are freed from all sins. people who prepare food only for themselves commit sins ",general,augmented
"very सम्पूर्ण प्राणी अन्नसे उत्पन्न होते हैं, अन्नकी उत्पत्ति वृष्टिसे होती है, वृष्टि यज्ञसे होती है और यज्ञ विहित कर्मोंसे उत्पन्न होनेवाला है। कर्मसमुदायको तू वेदसे उत्पन्न और वेदको अविनाशी परमात्म",stress,augmented
very food allows people to live. food is produced from rain. rain arises from sacrifice. actions produce sacrifice or yagna. god produces knowledge. knowledge produces actions. actions produce sacrifi,stress,augmented
very food allows people to live. food is produced from rain. rain arises from sacrifice. actions produce sacrifice or yagna.god produces knowledge. knowledge produces actions. actions produce sacrific,stress,augmented
"very हे पार्थ! जो पुरुष इस लोकमें इस प्रकार परम्परासे प्रचलित सृष्टिचक्रके अनुकूल नहीं बरतता अर्थात् अपने कर्तव्यका पालन नहीं करता, वह इन्द्रियों के द्वारा भोगोंमें रमण करनेवाला पापायु पुरुष व्यर्थ ही",motivation,augmented
"very the blessed lord said: o arjuna, he who does not follow the proper course of creation such as that i have just described, but centres his life around the enjoyment of luxuries, this sinful person",motivation,augmented
"परन्तु जो मनुष्य आत्मामें ही रमण करनेवाला और आत्मामें ही तृप्त तथा आत्मामें ही सन्तुष्ट हो, उसके लिये कोई कर्तव्य नहीं है|!",stress,augmented
"परन्तु जो मनुष्य आत्मामें ही रमण करनेवाला और आत्मामें ही तृप्त तथा आत्मामें ही सन्तुष्ट हो, उसके लिये कोई कर्तव्य नहीं है|?",stress,augmented
"very परन्तु जो मनुष्य आत्मामें ही रमण करनेवाला और आत्मामें ही तृप्त तथा आत्मामें ही सन्तुष्ट हो, उसके लिये कोई कर्तव्य नहीं है|",stress,augmented
"He, O Arjuna, who is satisfied and content in himself, and he who is absorbed in himself, actions and duties do not exist (for him).!",stress,augmented
"He, O Arjuna, who is satisfied and content in himself, and he who is absorbed in himself, actions and duties do not exist (for him).?",stress,augmented
"very he, o arjuna, who is satisfied and content in himself, and he who is absorbed in himself, actions and duties do not exist (for him).",stress,augmented
उस महापुरुषका इस विश्वमें न तो कर्म करनेसे कोई प्रयोजन रहता है और न कर्मोंके न करनेसे ही कोई प्रयोजन रहता है तथा सम्पूर्ण प्राणियोंमें । भी इसका किञ्चिन्मात्र भी स्वार्थका सम्बन्ध नहीं रहता|!,stress,augmented
उस महापुरुषका इस विश्वमें न तो कर्म करनेसे कोई प्रयोजन रहता है और न कर्मोंके न करनेसे ही कोई प्रयोजन रहता है तथा सम्पूर्ण प्राणियोंमें । भी इसका किञ्चिन्मात्र भी स्वार्थका सम्बन्ध नहीं रहता|?,stress,augmented
very उस महापुरुषका इस विश्वमें न तो कर्म करनेसे कोई प्रयोजन रहता है और न कर्मोंके न करनेसे ही कोई प्रयोजन रहता है तथा सम्पूर्ण प्राणियोंमें । भी इसका किञ्चिन्मात्र भी स्वार्थका सम्बन्ध नहीं रहता|,stress,augmented
"very this type of person has no use for actions (duties performed for the attainment of a certain goal), or inactions (duties performed without the expectation of any results).this type of person has ",stress,augmented
इसलिये तू निरन्तर आसक्तिसे रहित होकर सदा कर्तव्यकर्मको भलीभाँति करता रह क्योंकि आसक्तिसे रहित होकर कर्म करता हुआ मनुष्य परमात्माको प्राप्त हो जाता है|!,stress,augmented
इसलिये तू निरन्तर आसक्तिसे रहित होकर सदा कर्तव्यकर्मको भलीभाँति करता रह क्योंकि आसक्तिसे रहित होकर कर्म करता हुआ मनुष्य परमात्माको प्राप्त हो जाता है|?,stress,augmented
very इसलिये तू निरन्तर आसक्तिसे रहित होकर सदा कर्तव्यकर्मको भलीभाँति करता रह क्योंकि आसक्तिसे रहित होकर कर्म करता हुआ मनुष्य परमात्माको प्राप्त हो जाता है|,stress,augmented
"very therefore, arjuna always perform your given duties without feelings of attachment towards any being or anything. a person doing unattached actions, or in other words, “inction” attains the lord, ",stress,augmented
"श्रेष्ठ पुरुष जो जो आचरण करता है, अन्य पुरुष भी वैसा – वैसा ही आचरण करते हैं । वह जो कुछ प्रमाण कर देता है, समस्त मनुष्यसमुदाय उसीके अनुसार बरतने लग जाता है|!",motivation,augmented
"श्रेष्ठ पुरुष जो जो आचरण करता है, अन्य पुरुष भी वैसा – वैसा ही आचरण करते हैं । वह जो कुछ प्रमाण कर देता है, समस्त मनुष्यसमुदाय उसीके अनुसार बरतने लग जाता है|?",motivation,augmented
"very श्रेष्ठ पुरुष जो जो आचरण करता है, अन्य पुरुष भी वैसा – वैसा ही आचरण करते हैं । वह जो कुछ प्रमाण कर देता है, समस्त मनुष्यसमुदाय उसीके अनुसार बरतने लग जाता है|",motivation,augmented
"If a great man sets an example for the world, the world will follow him. Whatever standards or values he sets, people generally will follow the same set of standards and values.!",motivation,augmented
"If a great man sets an example for the world, the world will follow him. Whatever standards or values he sets, people generally will follow the same set of standards and values.?",motivation,augmented
"very if a great man sets an example for the world, the world will follow him. whatever standards or values he sets, people generally will follow the same set of standards and values.",motivation,augmented
"हे अर्जुन ! मुझे इन तीनों लोकोंमें न तो कुछ कर्तव्य है और न कोई भी प्राप्त करनेयोग्य वस्तु अप्राप्त है, तो भी मैं कर्ममें ही बरतता हूँ|!",stress,augmented
"हे अर्जुन ! मुझे इन तीनों लोकोंमें न तो कुछ कर्तव्य है और न कोई भी प्राप्त करनेयोग्य वस्तु अप्राप्त है, तो भी मैं कर्ममें ही बरतता हूँ|?",stress,augmented
"very हे अर्जुन ! मुझे इन तीनों लोकोंमें न तो कुछ कर्तव्य है और न कोई भी प्राप्त करनेयोग्य वस्तु अप्राप्त है, तो भी मैं कर्ममें ही बरतता हूँ|",stress,augmented
"very the blessed lord spoke: o arjuna, take me for example. there is nothing that is not available for me in this universe, nor is there any specific function or duty for me to perform, still, however",stress,augmented
क्योंकि हे पार्थ! यदि कदाचित् मैं सावधान होकर कर्मोंमें न बरतँ तो बड़ी हानि हो जाय; क्योंकि मनुष्य सब प्रकारसे मेरे ही मार्गका अनुसरण करते हैं|!,stress,augmented
क्योंकि हे पार्थ! यदि कदाचित् मैं सावधान होकर कर्मोंमें न बरतँ तो बड़ी हानि हो जाय; क्योंकि मनुष्य सब प्रकारसे मेरे ही मार्गका अनुसरण करते हैं|?,stress,augmented
very क्योंकि हे पार्थ! यदि कदाचित् मैं सावधान होकर कर्मोंमें न बरतँ तो बड़ी हानि हो जाय; क्योंकि मनुष्य सब प्रकारसे मेरे ही मार्गका अनुसरण करते हैं|,stress,augmented
"O Arjuna, if I do not perform my duties, the destruction of all regions of the universe will come about. Mixed castes will develop and all the beings on the face of this earth will be destroyed.!",stress,augmented
"O Arjuna, if I do not perform my duties, the destruction of all regions of the universe will come about. Mixed castes will develop and all the beings on the face of this earth will be destroyed.?",stress,augmented
"very o arjuna, if i do not perform my duties, the destruction of all regions of the universe will come about. mixed castes will develop and all the beings on the face of this earth will be destroyed.",stress,augmented
इसलिये यदि मैं कर्म न करूँ तो ये सब मनुष्य न नष्ट-भ्रष्ट हो जायँ और मैं संकरताका करनेवाला होऊँ तथा इस समस्त प्रजाको नष्ट करनेवाला बनूँ|!,stress,augmented
इसलिये यदि मैं कर्म न करूँ तो ये सब मनुष्य न नष्ट-भ्रष्ट हो जायँ और मैं संकरताका करनेवाला होऊँ तथा इस समस्त प्रजाको नष्ट करनेवाला बनूँ|?,stress,augmented
very इसलिये यदि मैं कर्म न करूँ तो ये सब मनुष्य न नष्ट-भ्रष्ट हो जायँ और मैं संकरताका करनेवाला होऊँ तथा इस समस्त प्रजाको नष्ट करनेवाला बनूँ|,stress,augmented
"These worlds would if I did no do action, I would be the cause of confusion of castes and I would destroy these beings.!",stress,augmented
"These worlds would if I did no do action, I would be the cause of confusion of castes and I would destroy these beings.?",stress,augmented
"very these worlds would if i did no do action, i would be the cause of confusion of castes and i would destroy these beings.",stress,augmented
"हे भारत ! कर्ममें आसक्त हुए अज्ञानीजन जिस प्रकार कर्म करते हैं, आसक्तिरहित विद्वान् भी लोकसंग्रह करना चाहता हुआ उसी प्रकार कर्म करे|!",stress,augmented
"हे भारत ! कर्ममें आसक्त हुए अज्ञानीजन जिस प्रकार कर्म करते हैं, आसक्तिरहित विद्वान् भी लोकसंग्रह करना चाहता हुआ उसी प्रकार कर्म करे|?",stress,augmented
"very हे भारत ! कर्ममें आसक्त हुए अज्ञानीजन जिस प्रकार कर्म करते हैं, आसक्तिरहित विद्वान् भी लोकसंग्रह करना चाहता हुआ उसी प्रकार कर्म करे|",stress,augmented
"very the blessed lord said: just as the ignorant perform actions with attachment to things and/or beings, so should the wise men take action for the preservation of world order, without developing any",stress,augmented
very परमात्माके स्वरूपमें अटल स्थित हुए ज्ञानी पुरुषको चाहिये कि वह शास्त्रविहित कर्मोंमें आसक्तिवाले अज्ञानियोंकी बुद्धिमें भ्रम अर्थात् कर्मोंमें अश्रद्धा उत्पन्न न करे । किन्तु स्वयं शास्त्रविहित स,stress,augmented
"very it is not a wise man’s concern or responsibility to fill the ignorant person’s mind with doubts, even if the latter is attached to his actions and constantly awaits results.however, he should enc",stress,augmented
"वास्तवमें सम्पूर्ण कर्म सब प्रकारसे प्रकृतिके गुणोंद्वारा किये जाते हैं तो भी जिसका अन्तःकरण अहंकारसे मोहित हो रहा है, ऐसा अज्ञानी मैं कर्ता हूँ’ ऐसा मानता है|!",stress,augmented
"वास्तवमें सम्पूर्ण कर्म सब प्रकारसे प्रकृतिके गुणोंद्वारा किये जाते हैं तो भी जिसका अन्तःकरण अहंकारसे मोहित हो रहा है, ऐसा अज्ञानी मैं कर्ता हूँ’ ऐसा मानता है|?",stress,augmented
"very वास्तवमें सम्पूर्ण कर्म सब प्रकारसे प्रकृतिके गुणोंद्वारा किये जाते हैं तो भी जिसका अन्तःकरण अहंकारसे मोहित हो रहा है, ऐसा अज्ञानी मैं कर्ता हूँ’ ऐसा मानता है|",stress,augmented
"very the blessed lord krishna spoke: o arjuna, all actions that are performed by beings, are done so by three modes of prakrithi or three aspects of nature. however, ignorant people claim themselves a",stress,augmented
"परन्तु हे महाबाहो ! गुणविभाग और कर्मविभाग के तत्त्व को जाननेवाला ज्ञानयोगी सम्पूर्ण गुण ही गुणोंमें बरत रहे हैं, ऐसा समझकर उनमें आसक्त नहीं होता|!",stress,augmented
